time,col,x,y,level,time
20100714,11087,N21,E06,C,20:31
20100714,11087,N21,E06,C,12:11
20100714,11087,N21,E06,N,99:99
20100714,11087,N21,E06,C,10:43
20100714,11088,S21,W02,N,99:99
20100715,11087,N20,W06,N,99:99
20100715,11087,N20,W06,N,99:99
20100715,11087,N20,W06,C,20:31
20100715,11087,N20,W06,C,12:11
20100716,11087,N19,W19,N,99:99
20100717,11087,N20,W33,N,99:99
20100717,11087,N20,W33,C,17:27
20100717,11087,N20,W33,N,99:99
20100718,11087,N23,W47,N,99:99
20100719,11087,N24,W62,N,99:99
20100719,11089,S23,E56,N,99:99
20100720,11087,N17,W75,N,99:99
20100720,11089,S23,E56,N,99:99
20100720,11089,S23,E56,C,13:38
20100720,11089,S23,E56,N,99:99
20100721,11087,N16,W91,N,99:99
20100721,11089,S24,E44,N,99:99
20100722,11087,N18,W91,N,99:99
20100722,11089,S24,E32,N,99:99
20100723,11089,S23,E19,N,99:99
20100724,11089,S24,E06,N,99:99
20100724,11090,N23,E44,N,99:99
20100725,11089,S23,W08,N,99:99
20100725,11090,N23,E44,N,99:99
20100726,11089,S24,W22,N,99:99
20100726,11090,N23,E29,N,99:99
20100726,11091,N12,W87,N,99:99
20100727,11089,S24,W35,N,99:99
20100727,11089,S24,W35,C,04:12
20100727,11089,S24,W35,N,99:99
20100727,11090,N22,E15,N,99:99
20100727,11091,N12,W87,N,99:99
20100728,11089,S24,W49,N,99:99
20100728,11089,S24,W49,C,20:33
20100728,11089,S24,W49,N,99:99
20100728,11089,S24,W49,C,04:12
20100728,11092,N16,E62,N,99:99
20100729,11089,S24,W62,N,99:99
20100729,11089,S24,W62,N,99:99
20100729,11089,S24,W62,C,20:33
20100729,11092,N16,E62,N,99:99
20100730,11089,S24,W76,N,99:99
20100730,11092,N14,E49,N,99:99
20100731,11089,S23,W87,N,99:99
20100731,11092,N15,E35,N,99:99
20100801,11092,N13,E21,N,99:99
20100801,11092,N13,E21,C,07:24
20100801,11092,N13,E21,N,99:99
20100802,11092,N13,E07,N,99:99
20100803,11092,N16,W04,N,99:99
20100804,11092,N15,W18,N,99:99
20100804,11093,N10,E51,N,99:99
20100805,11092,N14,W29,N,99:99
20100805,11093,N10,E51,N,99:99
20100805,11094,N25,W72,N,99:99
20100805,11095,S18,E32,N,99:99
20100806,11092,N13,W47,N,99:99
20100806,11093,N11,E44,N,99:99
20100806,11094,N25,W72,N,99:99
20100806,11095,S18,E32,N,99:99
20100807,11092,N12,W60,N,99:99
20100807,11093,N12,E31,N,99:99
20100807,11093,N12,E31,M,17:55
20100807,11093,N12,E31,N,99:99
20100807,11094,N26,W85,N,99:99
20100807,11095,S19,E20,N,99:99
20100808,11092,N13,W74,N,99:99
20100808,11093,N10,E16,N,99:99
20100808,11093,N10,E16,N,99:99
20100808,11093,N10,E16,M,17:55
20100808,11094,N25,W91,N,99:99
20100808,11095,S18,E05,N,99:99
20100808,11096,N22,W19,N,99:99
20100809,11092,N13,W88,N,99:99
20100809,11093,N11,E01,N,99:99
20100809,11095,S17,W06,N,99:99
20100809,11096,N22,W19,N,99:99
20100810,11092,N12,W91,N,99:99
20100810,11093,N10,W12,N,99:99
20100810,11095,S18,W20,N,99:99
