time,col,x,y,level,time
19970527,8040,8,91,N,99:99
19970527,8045,3,84,N,99:99
19970527,8045,3,84,C,09:31
19970527,8045,3,84,N,99:99
19970527,8046,27,15,N,99:99
19970528,8045,2,91,N,99:99
19970528,8045,2,91,N,99:99
19970528,8045,2,91,C,09:31
19970528,8046,26,1,N,99:99
19970528,8047,26,55,N,99:99
19970530,8046,26,29,N,99:99
19970530,8047,26,31,N,99:99
19970531,8047,27,18,N,99:99
19970531,8048,28,42,N,99:99
19970531,8049,26,4,N,99:99
19970601,8047,27,6,N,99:99
19970601,8048,29,28,N,99:99
19970602,8047,26,5,N,99:99
19970602,8048,29,15,N,99:99
19970603,8047,26,17,N,99:99
19970603,8048,28,2,N,99:99
19970604,8048,28,10,N,99:99
19970605,8048,28,26,N,99:99
19970606,8048,27,37,N,99:99
19970607,8048,28,50,N,99:99
19970608,8048,28,63,N,99:99
19970609,8048,28,78,N,99:99
19970609,8050,27,43,N,99:99
19970609,8051,21,22,N,99:99
19970610,8048,28,91,N,99:99
19970610,8050,27,30,N,99:99
19970611,8050,28,17,N,99:99
19970612,8050,28,4,N,99:99
19970613,8050,29,10,N,99:99
19970613,8052,17,26,N,99:99
19970614,8050,29,23,N,99:99
19970614,8052,17,13,N,99:99
19970615,8050,29,35,N,99:99
19970615,8052,18,0,N,99:99
19970616,8050,28,47,N,99:99
19970616,8052,18,12,N,99:99
19970617,8050,30,59,N,99:99
19970617,8052,18,25,N,99:99
19970618,8050,27,73,N,99:99
19970618,8052,19,37,N,99:99
19970619,8052,18,53,N,99:99
19970619,8053,27,18,N,99:99
19970620,8053,26,4,N,99:99
19970621,8053,27,7,N,99:99
19970621,8054,7,86,N,99:99
19970622,8053,27,20,N,99:99
19970623,8055,15,6,N,99:99
19970624,8055,15,20,N,99:99
19970625,8055,15,35,N,99:99
19970626,8055,15,48,N,99:99
19970626,8056,17,32,N,99:99
19970627,8056,17,47,N,99:99
19970628,8056,17,61,N,99:99
19970629,8056,17,75,N,99:99
19970629,8056,17,75,C,23:41
19970629,8056,17,75,N,99:99
19970629,8057,30,1,N,99:99
19970630,8056,19,83,N,99:99
19970630,8056,19,83,N,99:99
19970630,8056,19,83,C,23:41
19970630,8057,31,16,N,99:99
19970703,8058,19,31,N,99:99
19970704,8058,22,17,N,99:99
19970705,8059,30,11,N,99:99
19970706,8059,30,27,N,99:99
19970707,8059,32,36,N,99:99
19970708,8059,31,49,N,99:99
19970708,8060,5,5,N,99:99
19970709,8059,31,63,N,99:99
19970709,8060,5,8,N,99:99
19970710,8059,34,74,N,99:99
19970710,8060,4,23,N,99:99
19970711,8060,5,36,N,99:99
19970715,8061,21,15,N,99:99
19970718,8062,23,53,N,99:99
19970719,8062,23,39,N,99:99
19970721,8063,25,25,N,99:99
19970723,8064,22,62,N,99:99
19970724,8062,27,22,N,99:99
19970724,8064,24,48,N,99:99
19970726,8062,28,50,N,99:99
19970726,8064,22,20,N,99:99
19970726,8065,18,70,N,99:99
19970726,8065,18,70,N,99:99
19970726,8065,18,70,C,18:45
19970726,8065,18,70,C,05:15
19970726,8066,22,60,N,99:99
19970727,8062,28,65,N,99:99
19970727,8064,22,7,N,99:99
19970727,8065,17,84,N,99:99
19970727,8066,23,46,N,99:99
19970728,8062,28,78,N,99:99
19970728,8064,22,9,N,99:99
19970728,8065,16,91,N,99:99
19970728,8066,24,33,N,99:99
19970729,8064,24,19,N,99:99
19970729,8066,26,22,N,99:99
19970731,8066,24,4,N,99:99
19970803,8067,6,51,N,99:99
19970804,8067,5,38,N,99:99
19970804,8068,22,20,N,99:99
19970805,8068,22,5,N,99:99
19970806,8068,21,7,N,99:99
19970806,8069,21,48,N,99:99
19970806,8070,20,40,N,99:99
19970807,8068,21,22,N,99:99
19970807,8069,21,61,N,99:99
19970807,8070,19,26,N,99:99
19970808,8068,20,35,N,99:99
19970808,8069,21,75,N,99:99
19970808,8070,19,12,N,99:99
19970809,8068,19,50,N,99:99
19970809,8069,23,87,N,99:99
19970809,8069,23,87,C,16:30
19970809,8069,23,87,C,12:04
19970809,8069,23,87,N,99:99
19970809,8070,20,2,N,99:99
19970809,8071,21,49,N,99:99
19970810,8069,21,91,N,99:99
19970810,8069,21,91,N,99:99
19970810,8069,21,91,C,16:30
19970810,8069,21,91,C,12:04
19970810,8070,20,14,N,99:99
19970810,8071,26,36,N,99:99
19970810,8072,21,8,N,99:99
19970811,8070,20,28,N,99:99
19970811,8071,26,24,N,99:99
19970812,8070,20,43,N,99:99
19970812,8071,25,7,N,99:99
19970812,8073,14,60,N,99:99
19970812,8074,26,62,N,99:99
19970813,8070,20,55,N,99:99
19970813,8071,26,6,N,99:99
19970813,8073,15,47,N,99:99
19970813,8074,26,50,N,99:99
19970814,8070,20,68,N,99:99
19970814,8071,26,20,N,99:99
19970814,8071,26,20,C,01:12
19970814,8071,26,20,N,99:99
19970814,8073,14,35,N,99:99
19970814,8074,26,39,N,99:99
19970815,8070,19,81,N,99:99
19970815,8071,26,35,N,99:99
19970815,8071,26,35,N,99:99
19970815,8071,26,35,C,01:12
19970815,8073,14,22,N,99:99
19970815,8074,27,25,N,99:99
19970816,8070,20,91,N,99:99
19970816,8071,26,49,N,99:99
19970816,8073,15,9,N,99:99
19970816,8074,27,14,N,99:99
19970816,8075,29,33,N,99:99
19970817,8073,15,6,N,99:99
19970817,8074,27,2,N,99:99
19970817,8075,29,18,N,99:99
19970818,8073,15,18,N,99:99
19970818,8074,27,15,N,99:99
19970819,8073,14,31,N,99:99
19970820,8073,14,45,N,99:99
19970821,8073,14,58,N,99:99
19970822,8073,13,74,N,99:99
19970823,8073,14,85,N,99:99
19970824,8073,13,91,N,99:99
19970826,8076,29,50,N,99:99
19970826,8076,29,50,C,05:26
19970826,8076,29,50,C,00:51
19970826,8076,29,50,N,99:99
19970826,8076,29,50,C,16:25
19970826,8076,29,50,C,15:18
19970826,8077,23,46,N,99:99
19970827,8076,30,38,N,99:99
19970827,8076,30,38,N,99:99
19970827,8076,30,38,C,05:26
19970827,8076,30,38,C,00:51
19970827,8077,22,32,N,99:99
19970828,8076,29,24,N,99:99
19970828,8078,17,12,N,99:99
19970829,8076,29,11,N,99:99
19970829,8076,29,11,C,17:23
19970829,8076,29,11,N,99:99
19970829,8078,16,2,N,99:99
19970829,8079,15,4,N,99:99
19970830,8076,28,2,N,99:99
19970830,8076,28,2,C,11:07
19970830,8076,28,2,N,99:99
19970830,8076,28,2,C,17:23
19970830,8078,21,8,N,99:99
19970830,8079,15,17,N,99:99
19970831,8076,28,14,N,99:99
19970831,8076,28,14,C,22:18
19970831,8076,28,14,C,19:04
19970831,8076,28,14,C,11:26
19970831,8076,28,14,N,99:99
19970831,8076,28,14,C,11:07
19970831,8078,20,18,N,99:99
19970831,8080,18,45,N,99:99
19970901,8076,29,28,N,99:99
19970901,8076,29,28,N,99:99
19970901,8076,29,28,C,22:18
19970901,8076,29,28,C,19:04
19970901,8076,29,28,C,11:26
19970901,8078,21,33,N,99:99
19970901,8080,18,57,N,99:99
19970901,8081,34,59,N,99:99
19970902,8076,28,41,N,99:99
19970902,8076,28,41,C,23:54
19970902,8076,28,41,C,21:06
19970902,8076,28,41,C,16:35
19970902,8076,28,41,M,12:25
19970902,8076,28,41,N,99:99
19970902,8078,21,46,N,99:99
19970902,8080,18,70,N,99:99
19970902,8081,34,48,N,99:99
19970902,8082,22,57,N,99:99
19970903,8076,28,55,N,99:99
19970903,8076,28,55,C,15:09
19970903,8076,28,55,C,06:39
19970903,8076,28,55,C,02:05
19970903,8076,28,55,N,99:99
19970903,8076,28,55,C,23:54
19970903,8076,28,55,C,21:06
19970903,8076,28,55,C,16:35
19970903,8076,28,55,M,12:25
19970903,8078,21,59,N,99:99
19970903,8081,34,37,N,99:99
19970903,8082,21,45,N,99:99
19970904,8076,28,68,N,99:99
19970904,8076,28,68,N,99:99
19970904,8076,28,68,C,15:09
19970904,8076,28,68,C,06:39
19970904,8076,28,68,C,02:05
19970904,8081,34,24,N,99:99
19970904,8083,28,42,N,99:99
19970905,8076,27,78,N,99:99
19970905,8076,27,78,C,13:20
19970905,8076,27,78,N,99:99
19970905,8081,33,13,N,99:99
19970905,8082,22,23,N,99:99
19970905,8083,27,28,N,99:99
19970906,8076,26,91,N,99:99
19970906,8076,26,91,N,99:99
19970906,8076,26,91,C,13:20
19970906,8081,33,4,N,99:99
19970906,8082,21,9,N,99:99
19970906,8083,27,15,N,99:99
19970906,8084,22,51,N,99:99
19970907,8076,25,91,N,99:99
19970907,8081,30,7,N,99:99
19970907,8082,21,4,N,99:99
19970907,8083,27,2,N,99:99
19970907,8084,22,38,N,99:99
19970907,8085,24,62,N,99:99
19970907,8085,24,62,C,06:06
19970907,8085,24,62,N,99:99
19970908,8081,34,26,N,99:99
19970908,8082,21,17,N,99:99
19970908,8083,28,9,N,99:99
19970908,8083,28,9,M,19:23
19970908,8083,28,9,N,99:99
19970908,8084,21,23,N,99:99
19970908,8085,25,51,N,99:99
19970908,8085,25,51,C,17:35
19970908,8085,25,51,C,13:42
19970908,8085,25,51,C,10:24
19970908,8085,25,51,N,99:99
19970908,8085,25,51,C,06:06
19970909,8082,21,30,N,99:99
19970909,8083,28,22,N,99:99
19970909,8083,28,22,N,99:99
19970909,8083,28,22,M,19:23
19970909,8084,21,13,N,99:99
19970909,8085,25,40,N,99:99
19970909,8085,25,40,C,18:35
19970909,8085,25,40,C,09:45
19970909,8085,25,40,N,99:99
